date,open,high,low,close,volume
4/21/17,10.1504,10.1504,9.8465,10.1418,2653289
4/24/17,10.2633,10.4717,10.1808,10.3588,2947903
4/25/17,10.3675,10.5064,10.2199,10.2286,2392260
4/26/17,10.2807,10.6541,10.2199,10.4978,3503769
4/27/17,10.4978,10.5585,10.272,10.5238,2234243
4/28/17,10.5151,10.5542,10.3588,10.4109,2055921
5/1/17,10.437,10.5151,10.3154,10.4109,1876360
5/2/17,10.4109,10.8538,10.2894,10.8103,2961273
5/3/17,10.7235,10.819,10.5585,10.7235,2207262
5/4/17,10.6975,10.7582,10.4066,10.4457,2800389
5/5/17,10.4978,10.958,10.4717,10.8711,3180566
5/8/17,10.9232,11.2705,10.9059,10.9753,2958874
5/9/17,10.9666,11.1924,10.9415,11.0014,2013581
5/10/17,12.0694,12.5904,11.5571,12.3472,16072097
5/11/17,12.217,12.408,12.1215,12.243,7531291
5/12/17,12.0173,12.2387,11.9218,12.0086,4168829
5/15/17,12.0433,12.1909,11.7742,11.9218,5574875
5/16/17,11.7394,11.9218,11.5744,11.7568,2918001
5/17/17,11.4789,11.5484,11.1924,11.2011,3468706
5/18/17,11.2184,11.3574,10.8364,10.9059,2677189
5/19/17,10.9753,11.0274,10.628,10.819,2685613
5/22/17,10.8103,10.9927,10.7409,10.8538,2417117
5/23/17,10.8885,10.9319,10.5846,10.5933,2016047
5/24/17,10.5846,11.8002,10.3501,11.1924,11105706
5/25/17,11.8697,12.3125,11.7828,12.1996,8407308
5/26/17,12.1388,12.1562,11.2966,11.4789,6274758
5/30/17,11.531,11.7134,11.4789,11.5484,2930516
5/31/17,11.5296,11.6441,11.1902,11.6265,3172072
6/1/17,11.5913,12.1951,11.4591,12.1202,3222653
6/2/17,12.0585,12.1554,11.6618,11.8293,2114240
6/5/17,11.794,11.8337,11.4591,11.4767,2222674
6/6/17,11.3797,11.3797,10.7098,10.8597,3653901
6/7/17,10.8861,10.9126,10.5776,10.6393,2856480
6/8/17,10.7098,10.9126,10.6481,10.842,3664492
6/9/17,10.8156,11.3092,10.6217,11.2123,4229833
6/12/17,11.0183,11.4326,10.939,11.1241,3312016
6/13/17,11.1329,11.2299,10.9743,11.0712,3032465
6/14/17,11.1065,11.1153,10.8332,11.0448,3059101
6/15/17,10.9478,11.1858,10.8156,11.0448,2795224
6/16/17,10.8685,11.0536,10.7627,11.0448,2176115
6/19/17,11.0889,11.1153,10.7892,11.0977,1745693
6/20/17,11.0889,11.0889,10.6569,10.7627,1606169
6/21/17,10.7451,10.8773,10.5864,10.6217,1230686
6/22/17,10.7803,10.8597,10.5423,10.7539,2950507
6/23/17,10.7098,10.8861,10.463,10.8332,2586000
6/26/17,10.842,10.8861,10.6305,10.7715,2448389
6/27/17,10.7539,11.0007,10.701,10.9478,2702608
6/28/17,11.0007,11.1506,10.8156,10.842,3410270
6/29/17,10.9126,11.1329,10.8509,11.0007,1830831
6/30/17,11.0183,11.0977,10.8068,10.9654,3152284
7/3/17,11.0712,11.3533,11.0271,11.2475,977760
7/5/17,11.2211,11.3268,11.1417,11.3092,1602026
7/6/17,11.1946,11.2563,10.7803,10.8156,1734014
7/7/17,10.8244,10.8244,10.5952,10.7186,1336262
7/10/17,9.511,9.5551,8.3827,8.4533,27839445
7/11/17,8.4533,8.5855,8.0037,8.1448,14182712
7/12/17,8.1888,8.2682,7.7657,7.8362,9872077
7/13/17,7.8803,8.0302,7.8098,7.9596,6909097
7/14/17,8.0037,8.0654,7.8274,7.8362,5987491
7/17/17,7.8362,8.277,7.8274,8.1712,4587999
7/18/17,8.1624,8.2593,8.0831,8.18,3428243
7/19/17,8.2593,8.4797,8.2593,8.4092,4047837
7/20/17,8.4885,8.5943,8.3916,8.4797,2489157
7/21/17,8.515,8.5238,8.2417,8.4268,3315807
7/24/17,8.3299,8.3493,8.1712,8.1888,2154141
7/25/17,8.1624,8.5767,8.1536,8.4356,2278735
7/26/17,8.4092,8.5326,8.2682,8.4092,2001559
7/27/17,8.515,8.7177,8.3695,8.6824,3013471
7/28/17,8.6384,8.7001,8.4709,8.6648,4491915
7/31/17,8.7089,8.7442,8.5414,8.6736,2542592
8/1/17,8.7089,8.9733,8.6838,8.9469,2647797
8/2/17,8.894,8.9469,8.5767,8.753,2139160
8/3/17,8.7265,8.9293,8.6736,8.7882,1850985
8/4/17,8.8059,8.9998,8.7794,8.9645,1838672
8/7/17,9.0086,9.2025,8.9381,9.0086,2276113
8/8/17,9.0967,9.2466,9.0174,9.0262,1966655
8/9/17,8.9028,8.9148,8.5855,8.8764,2128790
8/10/17,8.7706,8.797,8.5326,8.6207,2701992
8/11/17,8.5502,8.7265,8.4973,8.6472,2707995
8/14/17,8.7353,8.7353,8.5238,8.559,1475764
8/15/17,8.4973,8.5194,8.0434,8.2593,3014160
8/16/17,8.4445,8.5943,8.3827,8.4356,2295895
8/17/17,8.3563,8.515,8.2417,8.3651,1594527
8/18/17,8.3122,8.5414,8.1888,8.515,2316291
8/21/17,8.3916,8.4533,7.9596,8.1888,3563372
8/22/17,8.2682,8.3519,8.0566,8.0654,4302631
8/23/17,8.3739,8.5723,8.2065,8.4709,6613969
8/24/17,9.5375,10.1192,9.3083,9.9165,20443719
8/25/17,10.1986,10.8861,9.9958,10.8773,13547991
8/28/17,10.8773,11.1329,10.8332,11.1153,6019733
8/29/17,10.9214,11.1858,10.798,11.0536,4587434
8/30/17,11.0606,11.3641,10.954,11.177,4072094
8/31/17,11.3292,11.5084,11.3113,11.4099,2750462
9/1/17,11.4636,11.7681,11.4009,11.7323,2868251
9/5/17,11.7054,11.8129,11.5263,11.7591,2683947
9/6/17,11.8308,12.2338,11.786,12.189,3689958
9/7/17,12.2607,12.3368,12.0189,12.2159,2430860
9/8/17,12.1801,12.2696,12.0189,12.1084,2816827
9/11/17,11.992,12.404,11.9472,12.2159,2360857
9/12/17,12.2069,12.7532,12.2069,12.5831,3080036
9/13/17,12.5383,12.6637,12.4308,12.5025,2819312
9/14/17,12.5025,12.6637,12.2875,12.592,2338310
9/15/17,12.5831,12.8025,12.5114,12.7532,3130523
9/18/17,12.7712,12.9144,12.5204,12.6099,2112300
9/19/17,12.6816,12.7891,12.4577,12.5562,1366925
9/20/17,12.5383,12.6368,12.3502,12.4756,2317148
9/21/17,12.5473,12.5562,12.386,12.5114,901005
9/22/17,12.5383,12.807,12.5025,12.7712,1893198
9/25/17,12.8428,13.2369,12.6816,12.807,2973437
9/26/17,12.8428,12.9324,12.7264,12.8965,1911709
9/27/17,12.8786,13.1831,12.7765,13.0757,2991566
9/28/17,13.0219,13.1742,12.8428,12.9055,1528123
9/29/17,12.9592,13.004,12.7891,12.9324,1453913
10/2/17,13.1563,13.2548,12.7655,13.1831,2623277
10/3/17,13.1652,13.1831,12.8249,12.9682,2420342
10/4/17,12.9951,13.1742,12.798,12.8338,1766866
10/5/17,12.8518,12.9861,12.5831,12.9234,2499575
10/6/17,12.8428,12.9503,12.7712,12.9234,1157449
10/9/17,12.8518,12.8518,12.1084,12.1801,3208925
10/10/17,12.2338,12.3054,12.0905,12.1711,1267181
10/11/17,12.1174,12.1801,11.8308,11.9741,1743678
10/12/17,11.8935,12.0009,11.5531,11.6606,1793538
10/13/17,11.6875,11.8935,11.6069,11.7054,1212719
10/16/17,11.6427,11.7412,11.4994,11.6875,1559851
10/17/17,11.6696,11.8218,11.5711,11.6875,1559824
10/18/17,11.7502,11.9741,11.6248,11.8576,1447232
10/19/17,11.7681,12.1174,11.7412,12.0009,1289904
10/20/17,12.1442,12.4398,12.1442,12.3234,1584058
10/23/17,12.3323,12.7712,12.2965,12.5562,2258693
10/24/17,12.6189,12.7353,12.4308,12.6637,1708204
10/25/17,12.6906,12.9368,12.5652,12.7891,1997700
10/26/17,12.7532,13.2727,12.7532,13.0667,2183817
10/27/17,12.9055,12.9682,12.5861,12.7622,2192949
10/30/17,12.6816,12.6995,12.0547,12.2159,1978715
10/31/17,12.2159,12.4219,11.9203,12.0278,1687342
11/1/17,11.1412,11.3561,10.5232,10.6934,5715915
11/2/17,10.7382,11.0964,10.6934,10.8188,1850510
11/3/17,10.6934,10.8277,10.577,10.5859,1797762
11/6/17,10.6396,10.8994,10.4963,10.6576,2098225
11/7/17,10.6576,10.6576,10.4157,10.4695,1991519
11/8/17,10.4157,10.7561,10.4023,10.4963,2159155
11/9/17,10.4605,11.2397,10.4516,10.9083,2886493
11/10/17,10.9531,11.5039,10.8911,11.2486,2689301
11/13/17,11.2486,11.4725,11.0158,11.0606,1985966
11/14/17,10.9262,11.1412,10.7202,11.0785,2043945
11/15/17,11.0068,11.6158,10.8635,11.3292,2345568
11/16/17,11.383,11.5084,11.0695,11.2397,4269607
11/17/17,13.9533,14.4996,13.1742,13.9265,18461139
11/20/17,14.0608,15.3952,13.8459,15.2609,10499219
11/21/17,15.1893,15.1893,14.5534,14.9027,5103810
11/22/17,14.9295,15.0415,14.7056,14.8848,3070797
11/24/17,15.0012,15.3325,14.8937,14.9833,1947016
11/27/17,15.0101,15.2699,14.437,14.7683,3249728
11/28/17,14.8131,16.0311,14.8131,15.8789,4011457
11/29/17,15.7803,16.5147,15.7356,15.852,5319365
11/30/17,15.5817,16.2067,15.5001,15.7266,3300285
12/1/17,15.6541,15.935,15.1378,15.7357,3321461
12/4/17,15.944,16.5419,15.627,15.6632,3688712
