date,open,high,low,close,volume
6/10/16,45.478,45.594,43.6843,43.758,30133015
6/13/16,43.9,45.154,43.532,43.574,20965110
6/14/16,43.776,44.44,42.506,42.992,17900835
6/15/16,43.39,44.38,43.026,43.54,14542610
6/16/16,43.484,43.608,42.7,43.586,12201295
6/17/16,43.562,43.998,42.9,43.094,15563100
6/20/16,43.9,44.75,43.646,43.94,17777355
6/21/16,44.136,44.5138,43.762,43.922,22645025
6/22/16,39.894,41.19,39.15,39.332,118712070
6/23/16,39.138,39.51,38.426,39.28,50653740
6/24/16,38.01,39.024,37.946,38.63,35132580
6/27/16,38.172,39.762,37.574,39.71,36101615
6/28/16,40.378,40.81,39.882,40.358,31062110
6/29/16,41.026,42.356,40.6,42.038,29974540
6/30/16,42.594,42.7,41.804,42.456,24215555
7/1/16,41.228,43.648,41.2,43.3,26999755
7/5/16,41.946,42.9088,41.6,42.796,25876725
7/6/16,42,43.046,41.8,42.888,24599275
7/7/16,42.62,43.624,42.602,43.188,18060110
7/8/16,43.56,43.962,42.9,43.356,20373925
7/11/16,43.992,45.356,43.902,44.956,27149115
7/12/16,44.82,45.5,44.644,44.93,22880825
7/13/16,45.1,45.118,44.058,44.506,17835310
7/14/16,44.624,44.988,44.21,44.306,13379170
7/15/16,44.504,44.55,43.928,44.08,11171235
7/18/16,43.928,45.418,43.66,45.25,17060275
7/19/16,45,45.82,44.95,45.052,15575325
7/20/16,45.294,45.96,45,45.672,12842490
7/21/16,45.2,45.5694,43.82,44.1,22143255
7/22/16,44.398,44.9,43.776,44.454,12898460
7/25/16,44.454,46.278,44.2743,46.002,22453415
7/26/16,45.538,46,45.06,45.902,17150210
7/27/16,45.868,46.672,45.384,45.698,14445035
7/28/16,45.59,46.152,45.32,46.122,12095295
7/29/16,46.14,47.056,46.048,46.958,15354065
8/1/16,47.1,47.326,45.876,46.002,20081420
8/2/16,45.874,45.974,44.28,45.44,19672160
8/3/16,45.474,45.9398,44.842,45.158,19438795
8/4/16,45.138,46.172,44.41,46.122,20734985
8/5/16,46,46.4,45.48,46.006,16026075
8/8/16,45.6,45.92,45.218,45.232,11317920
8/9/16,45.364,46.3075,45.33,45.816,11039165
8/10/16,45.648,45.974,44.924,45.13,11691505
8/11/16,45.234,45.514,44.682,44.982,9404680
8/12/16,45.082,45.33,44.808,45.122,9067700
8/15/16,45.204,45.9,44.986,45.118,10171640
